iter	Passed	Remaining
0	1	117
1	2	111
2	3	101
3	3	93
4	4	91
5	5	88
6	6	87
7	7	85
8	8	83
9	9	82
10	10	81
11	10	80
12	11	79
13	12	78
14	13	77
15	14	76
16	15	75
17	16	74
18	17	73
19	18	72
20	19	72
21	20	71
22	20	70
23	21	69
24	22	67
25	23	66
26	24	65
27	25	65
28	26	65
29	27	64
30	28	63
31	29	62
32	30	61
33	31	60
34	31	59
35	32	58
36	33	57
37	34	56
38	35	55
39	36	54
40	37	53
41	37	51
42	38	50
43	39	50
44	40	49
45	41	48
46	42	47
47	43	46
48	44	45
49	44	44
50	45	43
51	46	43
52	47	42
53	48	41
54	48	40
55	49	39
56	50	38
57	51	37
58	52	36
59	53	35
60	54	34
61	55	34
62	56	33
63	57	32
64	58	31
65	59	30
66	60	29
67	61	28
68	62	27
69	63	27
70	63	26
71	64	25
72	65	24
73	66	23
74	67	22
75	68	21
76	69	20
77	70	19
78	71	18
79	72	18
80	73	17
81	74	16
82	74	15
83	75	14
84	76	13
85	77	12
86	78	11
87	79	10
88	80	9
89	81	9
90	83	8
91	84	7
92	85	6
93	86	5
94	87	4
95	88	3
96	89	2
97	89	1
98	90	0
99	91	0
