iter	Passed	Remaining
0	2	2256
1	3	1640
2	4	1467
3	5	1426
4	6	1336
5	8	1413
6	9	1342
7	10	1292
8	11	1249
9	12	1224
10	13	1198
11	14	1175
12	15	1158
13	16	1175
14	26	1763
15	28	1731
16	29	1711
17	31	1715
18	33	1708
19	34	1676
20	35	1640
21	36	1607
22	37	1579
23	38	1548
24	39	1521
25	39	1495
26	40	1473
27	41	1450
28	42	1433
29	43	1418
30	44	1402
31	45	1387
32	46	1373
33	47	1361
34	48	1349
35	49	1338
36	50	1327
37	51	1314
38	52	1302
39	53	1291
40	54	1281
41	55	1272
42	56	1262
43	57	1253
44	58	1244
45	59	1241
46	60	1232
47	61	1225
48	65	1273
49	66	1267
50	67	1265
51	69	1259
52	70	1253
53	71	1246
54	72	1239
55	73	1233
56	74	1226
57	75	1221
58	76	1214
59	77	1209
60	79	1230
61	81	1234
62	83	1240
63	84	1234
64	85	1231
65	86	1230
66	88	1227
67	89	1223
68	90	1217
69	91	1211
70	92	1216
71	99	1285
72	101	1282
73	102	1279
74	103	1279
75	105	1282
76	106	1277
77	108	1277
78	109	1274
79	110	1268
80	111	1261
81	112	1257
82	112	1246
83	113	1241
84	114	1236
85	115	1231
86	116	1226
87	118	1224
88	119	1219
89	120	1215
90	121	1210
91	123	1215
92	124	1214
93	125	1213
94	127	1213
95	129	1219
96	130	1215
97	131	1211
98	132	1208
99	134	1214
100	136	1210
101	136	1205
102	139	1214
103	140	1211
104	141	1207
105	142	1203
106	143	1199
107	144	1194
108	145	1190
109	146	1186
110	147	1181
111	148	1177
112	149	1174
113	150	1170
114	151	1167
115	152	1162
116	153	1159
117	155	1158
118	156	1156
119	157	1152
120	158	1148
121	158	1143
122	159	1140
123	160	1136
124	161	1131
125	162	1127
126	163	1125
127	164	1123
128	166	1121
129	167	1118
130	169	1121
131	170	1119
132	171	1117
133	172	1114
134	173	1110
135	174	1107
136	175	1104
137	176	1102
138	177	1099
139	178	1096
140	179	1093
141	180	1088
142	181	1085
143	182	1082
144	184	1087
145	185	1085
146	186	1082
147	187	1079
148	188	1078
149	190	1078
150	191	1076
151	192	1074
152	193	1071
153	194	1069
154	195	1066
155	196	1063
156	197	1060
157	199	1060
158	200	1058
159	201	1056
160	201	1052
161	202	1049
162	204	1048
163	205	1045
164	206	1043
165	206	1039
166	207	1037
167	208	1034
168	209	1032
169	210	1029
170	211	1027
171	214	1030
172	215	1030
173	216	1027
174	217	1025
175	218	1022
176	219	1019
177	220	1017
178	221	1014
179	221	1011
180	222	1008
181	223	1005
182	224	1002
183	225	1000
184	226	997
185	227	994
186	229	996
187	230	994
188	231	992
189	232	992
190	234	991
191	235	989
192	239	999
193	240	998
194	241	996
195	243	997
196	245	999
197	246	998
198	247	997
199	249	997
200	250	996
201	251	994
202	253	993
203	254	992
204	255	992
205	257	992
206	260	999
207	262	999
208	263	997
209	264	996
210	266	997
211	268	996
212	269	995
213	270	994
214	271	992
215	273	990
216	275	995
217	277	994
218	278	992
219	279	992
220	281	991
221	282	989
222	283	988
223	285	987
224	286	985
225	287	984
226	288	983
227	290	985
228	292	986
229	293	984
230	295	982
231	296	981
232	298	981
233	299	981
234	301	980
235	302	979
236	303	978
237	306	982
238	308	981
239	309	979
240	310	978
241	312	978
242	314	978
243	315	977
244	316	975
245	330	1013
246	333	1017
247	335	1016
248	339	1024
249	342	1026
250	343	1026
251	345	1024
252	346	1023
253	347	1021
254	348	1019
255	350	1018
256	353	1021
257	354	1019
258	355	1017
259	356	1015
260	357	1013
261	358	1010
262	359	1008
263	360	1005
264	361	1003
265	362	1000
266	363	998
267	364	995
268	365	993
269	366	991
270	368	990
271	369	988
272	370	985
273	371	983
274	371	980
275	372	978
276	374	976
277	375	974
278	375	971
279	376	969
280	377	966
281	378	964
282	379	962
283	380	959
284	381	957
285	382	955
286	383	952
287	384	950
288	385	948
289	386	945
290	387	943
291	388	941
292	389	939
293	390	937
294	391	935
295	392	933
296	393	931
297	394	929
298	395	927
299	396	925
300	398	924
301	399	922
302	400	920
303	401	918
304	402	916
305	403	914
306	404	911
307	404	909
308	405	907
309	406	905
310	407	903
311	408	900
312	409	899
313	410	897
314	411	895
315	413	894
316	414	892
317	415	890
318	416	888
319	418	888
320	419	886
321	420	884
322	421	882
323	422	880
324	423	879
325	424	876
326	425	874
327	426	873
328	428	874
329	429	871
330	430	869
331	431	867
332	432	865
333	433	863
334	434	861
335	435	859
336	436	857
337	436	855
338	437	853
339	438	851
340	439	849
341	440	847
342	441	845
343	442	844
344	443	842
345	444	840
346	445	838
347	447	837
348	447	835
349	448	833
350	449	831
351	450	829
352	451	827
353	452	825
354	453	823
355	454	821
356	455	819
357	456	818
358	457	817
359	458	815
360	459	813
361	460	812
362	461	810
363	462	808
364	463	806
365	464	804
366	465	803
367	466	801
368	467	799
369	468	797
370	469	795
371	470	793
372	471	792
373	472	790
